text,label
"its time","general chat"
"check","general chat"
"0802827","contact exchange"
"Mariere B104","address exchange"
"B104","address exchange"
"call me","contact exchange"
"its time","general chat"
"check","general chat"
"0802827","contact exchange"
"Mariere B104","address exchange"
"call me","contact exchange"
"abeg send me your number","contact exchange"
"how much last price","negotiation"
"you go deliver reach Lagos?","negotiation"
"na for where you dey?","address exchange"
"I dey UNIBEN hostel","address exchange"
"drop location","address exchange"
"you fit run am 5k?","negotiation"
"oya na, I go take am","negotiation"
"how far bros","general chat"
"send your contact","contact exchange"
"0803xxxxxxx","contact exchange"
"come BQ side for Hall 4","address exchange"
"no worry, we go talk later","general chat"
"you sure say e original?","negotiation"
"price too high abeg","negotiation"
"I dey school now","general chat"
"na me get am","general chat"
"wetin be your WhatsApp?","contact exchange"
"meet me for Law Lecture Hall","address exchange"
"hello, I wan buy book","general chat"
"how much you dey sell?","negotiation"
"drop am for gate","address exchange"
"I go link you tomorrow","contact exchange"
"bros, reason am na","negotiation"
"una dey deliver?","negotiation"
"I go send my guy come","contact exchange"
"you go gimme small discount?","negotiation"
"you dey available today?","general chat"
"make I call you?","contact exchange"
"bring am come my hostel","address exchange"
"this your own cost o","negotiation"
"how I go see you?","contact exchange"
"give me update when you reach","general chat"
"I dey Hall 2 front","address exchange"
"drop your number for me","contact exchange"
"oga abeg calm down with the price","negotiation"
"we fit meet for library","address exchange"
"u fit come new hall?","address exchange"
"i dey for art faculty now","address exchange"
"abeg bring am come yaba gate","address exchange"
"where u dey stay for unilag?","address exchange"
"meet me front of library","address exchange"
"na for education building we go jam","address exchange"
"bros drop ur number make i call u","contact exchange"
"send me ur whatsapp","contact exchange"
"i fit flash u?","contact exchange"
"0806xxxxxxx","contact exchange"
"you go drop am for my hostel?","negotiation"
"how much last price?","negotiation"
"you no go reduce am small?","negotiation"
"e too cost abeg","negotiation"
"i go buy if na 3k","negotiation"
"bros help me cut price na","negotiation"
"i dey broke, reason am","negotiation"
"check am well before u buy","negotiation"
"i need that textbook sharp","general chat"
"how far guy","general chat"
"you dey?","general chat"
"wetin dey sup?","general chat"
"i go call u later","contact exchange"
"abeg call me when you reach","contact exchange"
"i go reach there around 3","general chat"
"you sabi who get am?","general chat"
"guy make i reason you","general chat"
"we fit link for senate building","address exchange"
"una dey sell for faculty side?","address exchange"
"bring am come main gate","address exchange"
"just wait me near sport center","address exchange"
"how e be?","general chat"
"you sure say e original?","negotiation"
"i no fit pay 5k abeg","negotiation"
"abeg e no reach dat amount","negotiation"
"i go pay now now","negotiation"
"i get class now, talk later","general chat"
"you go see me for hall 3","address exchange"
"u fit text me ur digits?","contact exchange"
"i wan collect ur contact","contact exchange"
"abeg drop ur line","contact exchange"
"check ur dm","contact exchange"
"we go talk for whatsapp","contact exchange"
"i dey cafe side","address exchange"
"enter science building then turn right","address exchange"
"i wan buy book","general chat"
"this the one u dey talk about?","general chat"
"bros, package am for me","general chat"
"wait make i ask my guy","general chat"
"i get urgent need for am","general chat"
"abeg no vex, i no go fit come again","general chat"
"how much i go pay for am?","negotiation"
"wetin be the cost?","negotiation"
"how much for that book again?","negotiation"
"call me later na","contact exchange"
"make i send am for hostel?","address exchange"
"how i go find u for unilag?","address exchange"
"u fit meet me for parking lot","address exchange"
"i go drop am at gate","address exchange"
"u don enter class?","general chat"
"where u wan make i meet u?","address exchange"
"call me after lecture","contact exchange"
"i no dey for school now","general chat"
"i go reach by 5","general chat"
"make i collect am for front gate?","address exchange"
"drop ur whatsapp number","contact exchange"
"you go dey available?","negotiation"
"we fit link after school?","general chat"
"i need am sharp sharp","general chat"
"make i send the money to u?","negotiation"
"how much the delivery cost?","negotiation"
"when u go deliver am?","negotiation"
"i go send it after lecture","contact exchange"
"bros come collect am for gate","address exchange"
"i dey faculty now","address exchange"
"i dey for hostel 3","address exchange"
"call me when u land","contact exchange"
"we fit meet for faculty gate","address exchange"
"how far with the price?","negotiation"
"i dey finish for lecture now","general chat"
"u fit deliver to my hostel?","address exchange"
"abeg reduce am small","negotiation"
"call me when u see this message","contact exchange"
"drop location for me","address exchange"
"u go fit meet me at 3?","address exchange"
"u go fit come now?","negotiation"
"i go send my guy come","contact exchange"
"i dey school now","general chat"
"you sure say you dey sell the original one?","negotiation"
"where i go find you?","address exchange"
"make i drop am for ur hostel?","address exchange"
"make i send the details to u?","negotiation"
"i go check am now","general chat"
"i go meet u for next class","address exchange"
"please send your contact","contact exchange"
"how much you go give me for 2?","negotiation"
